objectid,filename,youtubeid,title,format,description,creator,institutions,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,dob-dod,rights,collection,type,language,relation
wocim016,Joycelyn Elders.jpg,,"M. Joycelyn Elders, U.S. Surgeon General",image/jpeg,"M. Joycelyn Elders was born in Schaal, Arkansas (Howard County). In 1952 she graduated from Philander Smith College with a B.S. in Biology. The following year she enlisted in the U.S. Army as a physical therapist and obtained the rank of 2nd Lieutenant. After her discharge, she enrolled at the University of Arkansas for Medical Sciences obtaining her medical degree in 1962. Dr. Elders is certified as a pediatric endocrinologist. She is an expert in childhood sexual development and juvenile diabetes. In 1987, Governor Bill Clinton asked her to serve as the Director of the Arkansas Department of Health. Elders was the first African American and first woman to direct the Arkansas public health service, a position she held for six years (1987-1993). In 1993, President Bill Clinton appointed her Surgeon-General of the United States. She became the first African American woman to be appointed Surgeon General of the U.S. Public Health Service, serving until December 1994. A lifetime of service, Dr. Elders faced throughout her career the challenges of the onset of the HIV/AIDS disease and the highest rate of teen pregnancy in the industrialized world. She steadfastly pursued to raise the awareness of sexual education and successfully reduced the rate of teenage pregnancies throughout the country. Among her many achievements, Dr. Joycelyn Elders was inducted into the Arkansas Black Hall of Fame in 1995 and the Arkansas Womens Hall of Fame in 2016.",,Arkansas Children's Hospital; Arkansas Department of Health; Army Medical Specialist Corp; Brooke Army Medical Center; Fitzsimmons Hospital; Letterman Army Hospital; Philander Smith College; University of Arkansas Medical Center; University of Arkansas for Medical Sciences; University of Minnesota Hospital,,no,Photograph,Arkansas Black Hall of Fame; Arkansas Women's Hall of Fame; Child Immunization; Internal Medicine; Pediatric endocrinology; Pediatrics; Physicians; Public Health; Public Health Administration; Physical Therapist; Sexual Development; Sexual Health,"Little Rock, AR (Pulaski County); Schaal, AR (Howard County); Washington, D.C.",38.9072,-77.0369,,"Historical Research Center, UAMS Library","M. Joycelyn Elders, M.D. Collection",,,,The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,"M. Joycelyn Elders Collection, M.D. Historical Research Center, UAMS Library.",Image; Still Image,eng,
wocim017,Lidia Songandares.jpg,,"Lidia Gertrudis Sogandares, UAMS",image/jpeg,"A citizen of the Republic of Panama, Dr. Lidia Gertrudis Sogandares was the first Latin American graduate of the University of Arkansas School of Medicine. She is renown as the first female doctor in Panama and Central America. In 1934, Lidia Sogandares graduated from UAMS with a degree in medicine. She completed residency at the Women's Hospital in Philadelphia, where she specialized in the fields of Obstetrics and Gynecology. Returning to Panama, Dr. Sogandares joined the medical staff at Santos Tomas Hospital and gradually rose to the position of Chief of Obstetrics and Gynecology. Over the course of her career, Sogandares published several gynecological studies and was affiliated with many professional organizations. Dr. Lidia G. Sogandares was co-founder and first female member of the Panamanian Academy of Medicine and Surgery; She was a co-founder and the first president of the Panamanian Society of Obstetrics and Gynecology, a member of the Pan-American Alliance of Medical Women, the Isthmian Medical Association of the Canal Zone, and the Women Medical Association.",,"Gorgas Memorial Institute; National Medical Association; Panamanian Academy of Medicine and Surgery; Panamanian Red Cross; Panamamian Society of Obstetrics and Gynecology; Santo Tomas Hospital (Panama); University of Arkansas for Medical Sciences; University of Panama School of Medicine; Women's Hospital, Philadelpha",1934,no,Photograph,Gynecology; Midwifery; Midwives; Obstetrics; Physicians; Public Health; Sexual Health,"Little Rock, AR (Pulaski County); Panama City (Panama); Philadelphia, PA; Taboga Island (Panama); Winona, MN",34.7493,-92.3206,,"Historical Research Center, UAMS Library",,,,"October 17, 1908 - March 21, 1971",The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,,Image; Still Image,eng,
wocim018,LidiaSogandares3.jpg,,Lidia Gertrudis Sogandares,image/jpeg,"A citizen of the Republic of Panama, Dr. Lidia Gertrudis Sogandares was the first Latin American graduate of the University of Arkansas School of Medicine. She is renown as the first female doctor in Panama and Central America. In 1934, Lidia Sogandares graduated from UAMS with a degree in medicine. She completed residency at the Women's Hospital in Philadelphia, where she specialized in the fields of Obstetrics and Gynecology. Returning to Panama, Dr. Sogandares joined the medical staff at Santos Tomas Hospital and gradually rose to the position of Chief of Obstetrics and Gynecology. Over the course of her career, Sogandares published several gynecological studies and was affiliated with many professional organizations. Dr. Lidia G. Sogandares was co-founder and first female member of the Panamanian Academy of Medicine and Surgery; She was a co-founder and the first president of the Panamanian Society of Obstetrics and Gynecology, a member of the Pan-American Alliance of Medical Women, the Isthmian Medical Association of the Canal Zone, and the Women Medical Association.",,"Gorgas Memorial Institute; National Medical Association; Panamanian Academy of Medicine and Surgery; Panamanian Red Cross; Panamamian Society of Obstetrics and Gynecology; Santo Tomas Hospital (Panama); University of Arkansas for Medical Sciences; University of Panama School of Medicine; Women's Hospital, Philadelpha",,no,Photograph,Gynecology; Midwifery; Midwives; Obstetrics; Physicians; Public Health; Sexual Health,"Little Rock, AR (Pulaski County); Panama City (Panama); Philadelphia, PA; Taboga Island (Panama); Winona, MN",8.9835,-79.5337,,"Historical Research Center, UAMS Library",,,,"October 17, 1908 - March 21, 1971",The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,,Image; Still Image,eng,
wocim019,p15728coll1_1297_large.jpg,,"Bennie ""Mama"" McGuire, on a midwife appointment",image/jpeg,"Bennie ""Mama"" McGurie grew up on a farm in Hardemann County, TN. Inspired by her grandmother who had been a midwife, she learned midwife techniques from a rural doctor. Bennie McGurie moved to Marked Tree, Arkansas in 1914. She was to deliver over a thousand babies during her lifetime. When asked about her patients, Bennie reflected,""Most of the ones I went to were broke and in trouble--they couldn't afford to pay $300 to have thier babies born in a hospital. I couldn't turn my back on them. I swore an oath when I became a midwife that I'd help the ones that needed it, and that's what I done.""",Charles Nicholas,,1971,no,Photograph,Midwives; Midwifery,"Hardemann County, TN; Marked Tree, AR (Poinsett County)",35.5329,-90.4207,,UA Little Rock Center for Arkansas History and Culture,,,,,The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,"African Americans photograph collection, ca. 1890-1954 (UALR.PH.0052)",Image; Still Image,eng,https://arstudies.contentdm.oclc.org/digital/collection/p15728coll1/id/1297
wocim020,,fiIsjdXnKt4,M. Joycelyn Elders: Personal Experiences in Medical School,video/mpeg,"M. Joycelyn Elders was born in Schaal, Arkansas (Howard County). In 1952 she graduated from Philander Smith College with a B.S. in Biology. The following year she enlisted in the U.S. Army as a physical therapist and obtained the rank of 2nd Lieutenant. After her discharge, she enrolled at the University of Arkansas for Medical Sciences obtaining her medical degree in 1962. Dr. Elders is certified as a pediatric endocrinologist. She is an expert in childhood sexual development and juvenile diabetes. In 1987, Governor Bill Clinton asked her to serve as the Director of the Arkansas Department of Health. Elders was the first African American and first woman to direct the Arkansas public health service, a position she held for six years (1987-1993). In 1993, President Bill Clinton appointed her Surgeon-General of the United States. She became the first African American woman to be appointed Surgeon General of the U.S. Public Health Service, serving until December 1994. A lifetime of service, Dr. Elders faced throughout her career the challenges of the onset of the HIV/AIDS disease and the highest rate of teen pregnancy in the industrialized world. She steadfastly pursued to raise the awareness of sexual education and successfully reduced the rate of teenage pregnancies throughout the country. Among her many achievements, Dr. Joycelyn Elders was inducted into the Arkansas Black Hall of Fame in 1995 and the Arkansas Womens Hall of Fame in 2016.",Visionary Project,Arkansas Children's Hospital; Arkansas Department of Health; Army Medical Specialist Corp; Brooke Army Medical Center; Fitzsimmons Hospital; Letterman Army Hospital; Philander Smith College; University of Arkansas Medical Center; University of Arkansas for Medical Sciences; University of Minnesota Hospital,,no,,Arkansas Black Hall of Fame; Arkansas Women's Hall of Fame; Child Immunization; Internal Medicine; Pediatric endocrinology; Pediatrics; Physicians; Public Health; Public Health Administration; Physical Therapist; Sexual Development; Sexual Health,"Little Rock, AR (Pulaski County); Schaal, AR (Howard County); Washington, D.C.",,,,YouTube,,,,,,,Audio,eng,
wocim022,,GdOe8DyovfQ,Stay-at-Home Lecture - Edith Irby Jones,video/mpeg,"Edith Irby Jones was an American physician who was the first African American to be accepted as a non-segregated student at the University of Arkansas Medical School (now the University of Arkansas for Medical Sciences) and the first black student to attend racially mixed classes in the American South. She was the first African American to graduate from a southern medical school, first black intern in the state of Arkansas, and later the first black intern at Baylor College of Medicine. In 1985, Dr. Jones became the first woman president of the National Medical Association. In addition to her distinguished medical career, Dr. Irby Jones was an activist for civil rights working with Dr. Martin Luther King Jr. She was the only physician and female member of the Freedom Four, who spoke across the South in homes and churches encouraging people to join the civil rights movement. Over the course of her carreer, Edith irby Jones recieved many awards and honors, including induction into both the Arkansas Black Fall of Fame and the Arkansas Women's Hall of Fame.","Historical Research Center, UAMS Library",Association of Black Cardiologist; Baylor College of Medicine; Cook County Graduate School of Medicine; Freedmen's Hospital; Knoxville College; Mercy Hospital; National Medical Association; Northwestern University; Riverside General Hospital; University of Arkansas for Medical Sciences; University of Texas Health Science Center; University of Texas Medical School; West Virginia College of Medicine,,no,,Arkansas Black Hall of Fame; Arkansas Women's Hall of Fame; Comparative Medicine; Geriatrics; Internal Medicine; Physicians,"Havana (Cuba); Hot Springs, AR (Garland County); Houston, TX; Little Rock, AR (Pulaski County); Mayflower, AR (Faulkner County); Uganda (Africa); Vaudreuil (Haiti); Veracruz (Mexico)",,,,YouTube,,,,,,,Audio,eng,
wocim023,,kGwHyBxVvD4,Kathryn Hall-Trujillo: Birthing Project USA,video/mpeg,"Dr. Kathryn Hall-Trujillo was born in Moscow, Arkansas (Jefferson County). She is a public health expert and advocate who focuses on healthcare for African American women. Hall-Trujillo received her M.A. in Public Health from the University of California at Los Angeles. In 1976, she worked as a public health administrator for the State of California. Seeing the difficulties that underserved women experienced in accessing quality health care, Hall-Trujillo established the Center for Community Health and Well-Being in 1988, a holistic health and social service agency based in Sacramento that housed a comprehensive health care clinic. Deriving from her work at the Center, Hall-Trujillo created the non-profit organization Birthing Project USA: The Underground Railroad for New Life, which has the goal of reducing infant mortality rates. From 1988 to 2010, her project helped 12,000 babies in over ninety-four communities in the United States, Canada, Cuba, Central America, and Africa. As faculty at the University of San Francisco, Dr. Hall-Trujillo is helping develop the Public Health Leadership Program for the Sacramento campus. In 2011, she was inducted into the Arkansas Black Hall of Fame.",Park Triangle Productions,"Birthing Project USA; Center for Community Health & Well-being; Cuban National School of Public Health; University of California, Los Angeles (UCLA)",,no,,Arkansas Black Hall of Fame; Midwifery; Midwives; Public Health; Public Health Administration,"Albuquerque, NM; Havana (Cuba); Los Angeles, CA; Moscow, AR (Jefferson County); Sacramento, CA",,,,YouTube,,,,,,,Audio,eng,
wocim024,uw_633_full.jpg,,"Lena Lowe Jordan, R.N., Mosaic State Hospital",image/jpeg,"Lena Lowe Jordan was an African-American registered nurse and hospital administrator. In the 1920s, she moved to Little Rock, Arkansas from the state of Georgia and began her career as a registered nurse at the Mosaic State Hospital in 1927. In the 1930s, Lena Jordan became affiliated with the Arkansas Home and Hospital for Crippled Negro Children in Little Rock, AR. The hospital was the only charitable institution that cared for crippled black children and operated with a small budget. By 1936, in considerable financial troubles, Lena Jordan placed a mortgage on her own home to keep the hospital in operation. Subsequently, the institution was renamed the Lena Jordan Hospital by 1938. Her hospital was a twenty-bed facility equipped for general surgery, medical, and obstetric care. It was open to all black patients, regardless of their ability to pay. The physicians who made up her staff worked without pay and for charity. Notably, Lena Jordan created a program at her hospital to train new nurses. She provided the opportunity for young women to gain work experience at the hospital and obtain a practical nursing certificate for their service. Lena Jordan spent over thirty years caring for the poor and underserved communities of Little Rock, Arkansas.",,American Red Cross; Arkansas Home and Hospital for Crippled Negro Children; Charity Hospital of Savannah; Lena Jordan Hospital; Mosaic Templars Hospital,1930,no,Photograph,Health Facility Administrators; Home Care; Home Health Nursing; Midwifery; Midwives; Nurse Educators; Nurses; Obstetrics; Philanthropist,"Little Rock, AR (Pulaski County); Savannah, GA; Washington, D.C.",34.7407,-92.277,,"Historical Research Center, UAMS Library",UAMS Archives Images P790a,,,"April 6, 1884 - September 30, 1950",The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,,Image; Still Image,eng,https://hrcdigitalcollections.contentdm.oclc.org/digital/collection/uw/id/633/rec/2
wocim025,EdithIrbyJones789.jpg,,"Dr. Edith Irby Jones, UAMS",image/jpeg,"Edith Irby Jones was an American physician who was the first African American to be accepted as a non-segregated student at the University of Arkansas Medical School (now the University of Arkansas for Medical Sciences) and the first black student to attend racially mixed classes in the American South. She was the first African American to graduate from a southern medical school, first black intern in the state of Arkansas, and later the first black intern at Baylor College of Medicine. In 1985, Dr. Jones became the first woman president of the National Medical Association. In addition to her distinguished medical career, Dr. Irby Jones was an activist for civil rights working with Dr. Martin Luther King Jr. She was the only physician and female member of the Freedom Four, who spoke across the South in homes and churches encouraging people to join the civil rights movement. Over the course of her carreer, Edith irby Jones recieved many awards and honors, including induction into both the Arkansas Black Fall of Fame and the Arkansas Women's Hall of Fame.",,Association of Black Cardiologist; Baylor College of Medicine; Cook County Graduate School of Medicine; Freedmen's Hospital; Knoxville College; Mercy Hospital; National Medical Association; Northwestern University; Riverside General Hospital; University of Arkansas for Medical Sciences; University of Texas Health Science Center; University of Texas Medical School; West Virginia College of Medicine,,,Photograph,Arkansas Black Hall of Fame; Arkansas Women's Hall of Fame; Comparative Medicine; Geriatrics; Internal Medicine; Physicians,"Havana (Cuba); Hot Springs, AR (Garland County); Houston, TX; Little Rock, AR (Pulaski County); Mayflower, AR (Faulkner County); Uganda (Africa); Vaudreuil (Haiti); Veracruz (Mexico)",,,,"Historical Research Center, UAMS Library","Edith Irby Jones, M.D. Collection",,,"December 23, 1927 - July 15, 2019",The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,,Image; Still Image,eng,
wocim030,F1_Tidwell.jpg,,"Charolette Tidwell, founder of Antioch Youth and Family",image/jpeg,"Charlotte Tidwell is a longtime resident of Fort Smith, Arkansas. In 1965, Charlotte began her studies in nursing and became the first black woman to complete the nursing program at Sparks Hospital. For over thirty years she servered her community as a nurse and hospital administrator. Upon retirement, Charlotte Tidwell founded the non-profit Antioch Youth and Family. Her organization distributes nutrituous food to needing families throughout Western Arkansas and Eastern Oklahoma and has grown to be the largest food pantry throughout the region. While retired, Tidwell considers that she is still following her calling as a nurse by addressing food insecurity in the community. She says,""The work has nothing to do with Charlotte. It's not about me. It has everything to do with knitting back communities to be whole.""","Joel Culberson, Photographer",Antioch Youth and Family; St. Edward Mercy Hospital; Sparks Regional Medical Center,2015,,Photograph,Health Facility Administrators; Nurses; Philanthropist,"Fort Smith, AR (Sebastian County)",35.393026,-94.411638,,Arkansas Living Magazine,,,,,The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,,Image; Still Image,eng,https://arkansaslivingmagazine.com/article/charolette-tidwell-action-hero/
wocim032,BarbaraJohnson Aug1974024.jpg,,"Barbara Johnson, UAMS Med Tech",image/jpeg,"Barbara Johnson was born in Hot Springs, Arkansas. She received her B.S. in Nursing in 1955 from the Meharry Medical College, School of Nursing in Nashville, TN. In 1972, she graduated from the University of Central Arkansas with a M.S. in Education and a M.S. in Nursing. She began her nursing career at the University of Arkansas for Medical Sciences. From 1960-1965, Barbara Johnson became the first black woman to hold the position of Operating Room head nurse. In 1966, she became the Director of Medical Services for the OEO Headstart program, and afterward joined the nursing staff of the Veterans Administration Hospital. In 1975, Governor Dale Bumpers appointed Barbara Johnson as head of the Arkansas State Board of Health of which she was the first African-American woman to become president of that organization. In 1980, she was an active member of the Little Rock Black Nurses Association and served as Corresponding Secretary. From 1991-2014 she was a Continuing Education Consultant for the Arkansas State Nurses Association, Individual Educational Activity Program. Barbara Johnson is an ARNA Hall of Fame Inductee.",,Arkansas State Health Department; Veteran's Administration Hospital; Meharry Medical College's School of Nursing; University of Central Arkansas; University of Arkansas for Medical Sciences,1974,,Photograph,Nurses; Public Health; Public Health Administration,"Hot Springs, AR (Garland County); Little Rock, AR (Pulaski County);",34.7493,-92.3206,,"Historical Research Center, UAMS Library",,,,,The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,,Image; Still Image,eng,
wocim035,Arkansas Midwives Deshae County Dumas AR 1-26-1928.jpg,,"Training of Arkansas Midwives in Dumas, AR",image/jpeg,"The Arkansas Department of Health performing a midwives training sesssion in Dumas, Arkansas in 1928. Midwives are women specially trained to assist women in childbirth and were often called upon to deliver the baby in place of a doctor. A midwife was very knowledgeable about childbirth and the uses of medical herbs. Traditionally, Arkansas midwives learned their trade from another practicing midwife, quite often a family member. After the birth, a midwife took care of the newborn and attended to the recovery of the new mother. In the 1920s, under the Sheppard-Towner program, the Arkansas Department of Health (ADH) issued permits to midwives who attended classes and were required to pass exams to practice midwifery. Midwives remain today vital care givers in a community.",,Arkansas Department of Health,1928,no,Photograph,Midwifery; Midwives; Public Health,"Dumas, AR (Desha County)",33.8834,-91.4835,,"Historical Research Center, UAMS Library",,,,,The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,,,,
wocim036,Arkansas Midwives 2 Deshae County Dumas AR 1-26-1928.jpg,,Arkansas Midwives of Desha County,image/jpeg,"A group of Arkansas midwives from Desha County pose for a photograph taken in 1928. Midwives are women specially trained to assist women in childbirth and were often called upon to deliver the baby in place of a doctor. A midwife was very knowledgeable about childbirth and the uses of medical herbs. Traditionally, Arkansas midwives learned their trade from another practicing midwife, quite often a family member. After the birth, a midwife took care of the newborn and attended to the recovery of the new mother. In the 1920s, under the Sheppard-Towner program, the Arkansas Department of Health (ADH) issued permits to midwives who attended classes and were required to pass exams to practice midwifery. Midwives remain today vital care givers in a community.",,Arkansas Department of Health,1928,no,Photograph,Midwifery; Midwives; Public Health,"Dumas, AR (Desha County)",33.8834,-91.4835,,"Historical Research Center, UAMS Library",,,,,The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,,,,
wocim037,97.292.3C_a.jpg,,"Woman in United States Cadet Nurse Corps uniform sitting in garden, Rohwer, Arkansas, September 23, 1944",image/jpeg,"Following the attack on Pearl Harbor on December 7, 1941, President Franklin Roosevelt established the War Relocation Authority (WRA) for the relocation, maintenance, and supervision of the Japanese American population. According to registration records, of the 120,000 Japanese Americans interned into the camps some 130 were registered nurses and 70 were registered midwives. In this photograph, a woman in United States Cadet Nurse Corps uniform sits in a garden at the Rohwer Relocation Camp.","Muramoto, Walter",Rohwer Relocation Center (Ark.); US Army Nursing Corps,1944,no,Photograph,"Japanese American--Evacuation and relocation, 1942-1945; Nurses","Rohwer, AR (Desha County)",33.7664,-91.2803,,Japanese American National Museum,,,,,The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,,,,
wocim038,janm_97.292.10G_a.jpg,,"Nurse carrying newborn infant, Rohwer, Arkansas",image/jpeg,"Following the attack on Pearl Harbor on December 7, 1941, President Franklin Roosevelt established the War Relocation Authority (WRA) for the relocation, maintenance, and supervision of the Japanese American population. According to registration records, of the 120,000 Japanese Americans interned into the camps some 130 were registered nurses and 70 were registered midwives. In this photograph, a Japaense American nurse holds a new born infant at the Rohwer War Relocation Center.","Muramoto, Walter",Rohwer Relocation Center (Ark.); US Army Nursing Corps,1944,no,Photograph,"Japanese American--Evacuation and relocation, 1942-1945; Midwifery; Midwives; Nurses","Rohwer, AR (Desha County)",33.7664,-91.2803,,Japanese American National Museum,,,,,The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,,,,https://janm.emuseum.com/objects/26076/woman-in-united-states-cadet-nurse-corps-uniform-sitting-in
wocim041,,pYdEQ41rK5A,"Dr. Freda Bush, Mississippi Public Broadcasting",video/mpeg,"Freda McKissic Bush, M.D., grew up in Pine Bluff, Arkansas.  In 1963, Dr. Bush attended the University of Arkansas for Medical Sciences where she received her Bachelor of Science degree in nursing.  She attended Columbia University becoming a certified nurse midwife.  Dr. Bush obtained her M.D. from the University of Mississippi Medical School and, in 1987, completed her residency at the University of Tennessee in Memphis. Since that time, Dr. Freda McKissic Bush was a practicing Gynecologist in Jackson, Mississippi with long experience in addressing issues of women's health and family planning.  She was a clinical instructor in the Department of OB-GYN and Department of Family Medicine at the University of Mississippi Medical Center. From 2006-2009, Dr. Bush served as a Presidential appointee to the Presidential Advisor Council on HIV/AIDS (PACHA). She became President and CEO of the Medical Institute for Sexual Health in 2012. Dr. Bush was a member of the council for Focus on the Family and a member of the American Association of Pro-Life Obstetricians and Gynecologists.  She served as a medical advisor for Heartbeat International and CareNet and served as Medical Director to the Center for Pregnancy Choices, Metro Jackson.  When Dr. Bush retired from practice in 2017, the Mississippi Legislature issued a resolution commending her distinguished career.",Mississippi Public Broadcasting,"Center for Pregnancy Choices, Metro Jackson; Columbia University; Medical Institute for Sexual Health; Mississippi Medical Center; Physicians Resource Council of Focus on the Family; University of Arkansas for Medical Sciences; University of Mississippi Medical School; University of Tennessee",2011,no,,Gynecology; Midwifery; Midwives; Nurses; Obstetrics; Public Health; Physicians; Sexual Health,"Jackson, MS; Little Rock, AR (Pulaski County); Memphis, TN; Pine Bluff, AR (Jefferson County)",,,,YouTube,,,,1947-2023,,,Audio,eng,
wocim042,,H7MaccCcH1k,"Stories from the Archives (Episode 2): Mamie O. Hale, R.N.",video/mpeg,"Mamie Odessa Hale was born November 19, 1910 in Keeny's Creek, WV. She completed her early medical education at Freedman's Hospital, School of Nursing in Washington, D.C., and then worked for a time with the county health unit for the Works Progress Administration in Fayette County, WV. Prior to beginning her new career in Arkansas, she took a course on midwifery at the Tuskegee Institute in Tuskegee, AL. In 1942, Mamie Hale arrived in Arkansas where she helped local nurses administer midwife educational programs for the Crittenden County Health Department. By 1945, she was appointed as midwife consultant by the Arkansas Department of Health. Nurse Hale was responsible for the training of midwives across the state ensuring that they knew the proper techniques to manage the medical aspects of pregnancy. From 1945 to 1950, Mamie Hale initiated educational programs throughout Conway, Faulkner, Lonoke, and St. Francis counties. Her impactful contributions to nursing and midwife education led to a marked improvement in Arkansas' maternal and infant mortality rates.","Historical Research Center, UAMS Library",Allegheny General Hospital; Arkansas Department of Health; Crittenden County Health Department; Freedmen's Hospital; Public Health Association; Simmon's College; Tuskegee Institute Training School of Nurses; Works Progress Administration,,,,Midwifery; Midwives; Nurse Educators; Nurse Midwives; Nurses; Obstetrics; Public Health,"Conway County (Ark.); Crittenden County (Ark.); Faulkner County (Ark.); Fayette County (WV); Keeny's Creek, WV; Lonoke County (Ark.); Pittsburg, PA; St. Francis County (Ark.)",,,,YouTube,,,,1947-2023,,,Audio,eng,
wocim043,1609576__n.jpg,,Dr. Fortunata L. Mendoza at her clinical practice in California,image/jpeg,"Dr. Fortunata L. Mendoza, MD, FAAD is a certified Dermatologist with more than twenty-five years of experience. She received her Medical Degree, Cum Laude, at the prestigious Santo Tomas University, Philippines. She then completed a Medicine Internship and Dermatology Residency at Emory University School of Medicine in Atlanta, GA. Moving to Arkansas, Dr. Mendoza taught Dermatology at the University of Arkansas for Medical Sciences in Little Rock, AR where she was also Chief of Dermatology of the Veterans Administration Medical Center and Acting Chairman of the Dermatology Department at the university. Dr. Mendoza is a Fellow of the American Academy of Dermatology. She is a member of the Los Angeles Metro Dermatology Society and the Womens Dermatology Society. She has written various articles related to Dermatology and has given numerous lectures abroad.",,Emory University School of Medicine (GA); Gateway Medical Spa (CA); University of Arkansas for Medical Sciences; University of Santo Tomas (Philippines),2022,,Photograph,Dermatologists; Dermatology; Physicians,"Little Rock, AR (Pulaski County); Mira Loma, CA; Republic of the Philippines",33.9845,-117.5159,,,,,,,The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,,Image; Still Image,,
wocim044,Name_ 00001041-001.pdf,,State's Midwife Schools Win U.N. Recognition,application/pdf,"Mamie Odessa Hale was born November 19, 1910 in Keenys Creek, West Virginia. She completed her early medical education in Alabama at the Tuskegee School of Nurse-Midwifery for Colored Nurses. In 1942, Mamie Hale began her career in public health in Arkansas where she helped local nurses administer midwife educational programs for the Crittenden County Health Department. In 1945, she was appointed as midwife consultant by the Arkansas Department of Health. Nurse Hale was responsible for the training of midwives across the state ensuring that they knew the proper techniques to manage the medical aspects of pregnancy. From 1945 to 1950, Mamie Hale initiated educational programs throughout Conway, Faulkner, Lonoke, and St. Francis counties. Her impactful contributions to nursing and midwife education led to a marked improvement in maternal and infant mortality rates.",,Allegheny General Hospital; Arkansas Department of Health; Crittenden County Health Department; Freedmen's Hospital; Public Health Association; Simmon's College; Tuskegee Institute Training School of Nurses; Works Progress Administration,,,,Midwifery; Midwives; Nurses; Obstetrics; Public Health,"Conway County (Ark.); Crittenden County (Ark.); Faulkner County (Ark.); Fayette County (WV); Keeny's Creek, WV; Lonoke County (Ark.); Pittsburg, PA; St. Francis County (Ark.)",,,,"Historical Research Center, UAMS Library",Arkansas Democrat Magazine,,,,The Historical Research Center provides digital objects for educational and personal research purposes only. Works not in the public domain cannot be commercially exploited without the permission of the copyright owner. The user agrees to assume all responsibility for any copyright infringement or other violations resulting from the use of this material.,,,,
